id,type,key,value
302883,regular,exit_to,I-280
302883,regular,highway,motorway_junction
302883,regular,ref,19A
302883,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf
26027656,regular,highway,traffic_signals
26027659,regular,highway,traffic_signals
26027659,regular,source,Yahoo
26027671,regular,highway,traffic_signals
26027671,regular,source,Yahoo
26027690,regular,highway,traffic_signals
26028045,regular,exit_to,Central Expressway
26028045,regular,highway,motorway_junction
26028045,regular,ref,23
26028045,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf
26028102,regular,exit_to,Mathilda Avenue South
26028102,regular,highway,motorway_junction
26028102,regular,ref,396B
26028109,regular,exit_to,Shoreline Boulevard
26028109,regular,highway,motorway_junction
26028109,regular,ref,399A
26028114,regular,exit_to,Rengstorff Avenue
26028114,regular,highway,motorway_junction
26028114,regular,ref,400B
26028714,regular,highway,traffic_signals
26028723,regular,exit_to,Arques / Fair Oaks
26028749,regular,highway,traffic_signals
26029008,regular,highway,traffic_signals
26029038,regular,highway,traffic_signals
26029630,regular,highway,traffic_signals
26029664,regular,exit_to,SR-82 North;Mountain View;El Camino Real
26029664,regular,highway,motorway_junction
26029664,regular,ref,22B
26029664,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf
26029760,regular,highway,traffic_signals
26029773,regular,highway,traffic_signals
26029773,regular,source,Yahoo
26029776,regular,highway,traffic_signals
26031411,regular,highway,traffic_signals
26031465,regular,highway,traffic_signals
26031466,regular,highway,traffic_signals
26050456,regular,highway,traffic_signals
26117820,regular,exit_to,US-101 North
26117820,regular,highway,motorway_junction
26117820,regular,ref,3A
26117820,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf
26117833,regular,highway,traffic_signals
26117833,source,highway,survey
26149279,regular,created_by,JOSM
26149287,regular,created_by,JOSM
26240871,regular,exit_to,Mathilda Avenue South
26240871,regular,highway,motorway_junction
26240871,regular,noref,yes
26240920,regular,highway,traffic_signals
26240920,regular,source,Bing
26374433,regular,created_by,JOSM
26403564,regular,ele,31 ft
26403564,regular,ref,32R
26506786,regular,highway,traffic_signals
26506813,regular,exit_to,SR-85 South;Gilroy
26506813,regular,highway,motorway_junction
26506813,regular,ref,12B
26506813,regular,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twoeightysouth.pdf
26506854,regular,created_by,JOSM
26511895,regular,highway,traffic_signals
26581088,regular,highway,traffic_signals
26639069,regular,highway,traffic_signals
26639070,regular,highway,traffic_signals
26850030,regular,highway,traffic_signals
29381109,regular,barrier,gate
29382247,regular,barrier,gate
29524017,regular,barrier,gate
30181366,regular,amenity,bus_station
30236408,regular,highway,traffic_signals
30236412,regular,highway,traffic_signals
